,AvaTax System Tax Code,AvaTax System Tax Code Description,Additional AvaTax System Tax Code Information,list_tax_code_des,list_tax_code_info,UNSPSC_corresponding_code
10,DA059399,Digital audio works (with rights of less than permanent use),,"['digit', 'le', 'audio', 'work', 'perman', 'right', 'use']",[],
11,DB010000,Digital goods: blueprints (digital only -- no physical media),Blueprints that are transferred to the customer through electronic means only.,"['digit', 'good', 'physic', 'blueprint', 'media']","['electron', 'custom', 'transfer', 'blueprint', 'mean']",48111103.0
12,DB020000,Digital goods: books (digital only -- no physical media),Books transferred to the customer through electronic means only.,"['digit', 'good', 'physic', 'book', 'media']","['electron', 'custom', 'book', 'transfer', 'mean']",48111103.0
13,DB031000,Digital books,,"['digit', 'book']",[],
14,DB031013,Digital books sold to an end user with rights for permanent use,,"['digit', 'perman', 'user', 'book', 'right', 'use', 'end', 'sold']",[],
15,DB031014,Digital books (with rights of less than permanent use),,"['digit', 'le', 'perman', 'book', 'right', 'use']",[],
16,DB031015,Digital books (with rights conditioned on continued payments),,"['digit', 'condit', 'payment', 'book', 'right', 'continu']",[],
17,DB031016,Digital books sold to users other than the end user,,"['digit', 'user', 'book', 'end', 'sold']",[],
18,DC010000,Computer software (business-to-business),"Computer software sold its various forms that is transferred either through physical media, electronically or through ""load and leave"" to a business operation and not to a non-business end user customer.","['busin', 'comput', 'softwar']","['oper', 'form', 'physic', 'load', 'end', 'custom', 'softwar', 'variou', 'user', 'busin', 'comput', 'electron', 'transfer', 'leav', 'non', 'media', 'either', 'sold']",
19,DC010100,Custom computer software - physical media (business-to-business),"Customized software that is transferred through physical media. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['physic', 'softwar', 'busin', 'comput', 'custom', 'media']","['minor', 'custom', 'physic', 'deem', 'mere', 'custom', 'softwar', 'specif', 'written', 'custom', 'add', 'transfer', 'individu', 'media', 'modif', 'can']",43232303.0
20,DC010200,Custom computer software - electronically downloaded (business-to-business),"Customized software that is transferred electronically rather than through some form of physical media. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['download', 'softwar', 'comput', 'custom', 'electron', 'busin']","['minor', 'softwar', 'written', 'custom', 'add', 'rather', 'deem', 'modif', 'can', 'form', 'specif', 'transfer', 'mere', 'electron', 'individu', 'custom', 'physic', 'custom', 'media']",43232303.0
21,DC010300,Custom computer software - load and leave (business-to-business),"Customized software that is loaded on a customer's computer on-site but the actual physical media is not left with the customer. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['load', 'softwar', 'comput', 'custom', 'leav', 'busin']","['minor', 'softwar', 'written', 'custom', 'add', 'deem', 'modif', 'can', 'specif', 'actual', 'comput', 'mere', 'site', 'individu', 'left', 'load', 'custom', 'physic', 'custom', 'media']",48111306.0
22,DC010400,Computer software (prewritten/canned) physical media (business-to-business),Computer software that is transferred through physical media that is not customized.,"['physic', 'media', 'softwar', 'busin', 'comput', 'prewritten', 'can']","['physic', 'custom', 'softwar', 'comput', 'transfer', 'media']",43232314.0
23,DC010500,Computer software (prewritten/canned) electronically downloaded (business-to-business),Computer software that is transferred electronically that is not customized.,"['download', 'softwar', 'busin', 'comput', 'electron', 'prewritten', 'can']","['custom', 'softwar', 'comput', 'electron', 'transfer']",43232314.0
24,DC010600,Computer software (prewritten/canned) delivered via load and leave (business-to-business),Computer software that is loaded on a customer's computer on-site that is not customized and the actual physical media is not left with the customer.,"['load', 'softwar', 'deliv', 'busin', 'comput', 'leav', 'prewritten', 'via', 'can']","['load', 'custom', 'physic', 'custom', 'softwar', 'actual', 'site', 'comput', 'media', 'left']",
25,DC011000,Computer software system software,Software that is integral to the computer's operation (e.g. operating systems),"['system', 'comput', 'softwar']","['oper', 'eg', 'oper', 'softwar', 'comput', 'integr', 'system']",43232614.0
26,DC020000,Computer software (business-to-customer),"Computer software sold its various forms that is transferred either through physical media, electronically or through ""load and leave"" to a non-business end user customer and not to business.","['busin', 'comput', 'softwar', 'custom']","['custom', 'form', 'physic', 'load', 'end', 'softwar', 'variou', 'user', 'busin', 'comput', 'electron', 'transfer', 'leav', 'non', 'media', 'either', 'sold']",48111306.0
27,DC020100,Custom computer software - physical media (business-to-customer),"Customized software that is transferred through physical media. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['custom', 'physic', 'softwar', 'busin', 'comput', 'custom', 'media']","['minor', 'custom', 'physic', 'deem', 'mere', 'custom', 'softwar', 'specif', 'written', 'custom', 'add', 'transfer', 'individu', 'media', 'modif', 'can']",43232303.0
28,DC020200,Custom computer software - electronically downloaded (business-to-customer),"Customized software that is transferred electronically rather than through some form of physical media. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['download', 'custom', 'softwar', 'comput', 'custom', 'electron', 'busin']","['minor', 'softwar', 'written', 'custom', 'add', 'rather', 'deem', 'modif', 'can', 'form', 'specif', 'transfer', 'mere', 'electron', 'individu', 'custom', 'physic', 'custom', 'media']",43232303.0
29,DC020300,Custom computer software - load and leave (business-to-customer),"Customized software that is loaded on a customer's computer on-site but the actual physical media is not left with the customer. custom software is deemed to be software that is written to an individual customer's specifications, and not merely a minor modification or add-on to canned software.","['custom', 'load', 'softwar', 'comput', 'custom', 'leav', 'busin']","['minor', 'softwar', 'written', 'custom', 'add', 'deem', 'modif', 'can', 'specif', 'actual', 'comput', 'mere', 'site', 'individu', 'left', 'load', 'custom', 'physic', 'custom', 'media']",48111306.0
30,DC020600,Computer software - (prewritten/canned) delivered via load and leave (business-to-customer),Computer software that is loaded on a customer's computer onsite that is not customized and the actual physical media is not left with the customer.,"['custom', 'load', 'softwar', 'deliv', 'busin', 'comput', 'leav', 'prewritten', 'via', 'can']","['load', 'custom', 'physic', 'custom', 'softwar', 'actual', 'comput', 'onsit', 'media', 'left']",48111306.0
31,DC020400,Computer software - (prewritten/canned) physical media (business-to-customer),Computer software that is transferred through physical media that is not customized.,"['custom', 'physic', 'media', 'softwar', 'busin', 'comput', 'prewritten', 'can']","['physic', 'custom', 'softwar', 'comput', 'transfer', 'media']",43232303.0
32,DC020402,Computer software - non-educational - prewritten/canned - physical media (business-to-business),Computer software that is primarily designed for something other than for academic educational purposes that is transferred through physical media and is not customized in any way.,"['educ', 'physic', 'media', 'softwar', 'busin', 'comput', 'non', 'prewritten', 'can']","['educ', 'primarili', 'physic', 'someth', 'custom', 'softwar', 'way', 'design', 'comput', 'transfer', 'purpos', 'academ', 'media']",43232505.0
33,DC020500,Computer software - (prewritten/canned) electronically downloaded (business-to-customer),Computer software that is transferred electronically that is not customized.,"['download', 'custom', 'softwar', 'busin', 'comput', 'electron', 'prewritten', 'can']","['custom', 'softwar', 'comput', 'electron', 'transfer']",43232303.0
34,DC020501,Computer software - educational - prewritten/canned - electronically downloaded (business-to-business),Computer software that is primarily designed for academic educational purposes only that is transferred electronically and is not customized.,"['educ', 'download', 'softwar', 'busin', 'comput', 'electron', 'prewritten', 'can']","['educ', 'primarili', 'custom', 'softwar', 'design', 'comput', 'electron', 'transfer', 'purpos', 'academ']",43232502.0
35,DC020502,Computer software - non-educational - prewritten/canned - electronically downloaded (business-to-customer),,"['educ', 'download', 'custom', 'softwar', 'busin', 'comput', 'electron', 'non', 'prewritten', 'can']",[],43232502.0
36,DC020503,Computer software - non-educational - prewritten/canned - electronically downloaded - (business-to-business),Computer software that is primarily designed for something other than academic educational purposes that is transferred electronically and is not customized.,"['educ', 'download', 'softwar', 'busin', 'comput', 'electron', 'non', 'prewritten', 'can']","['educ', 'primarili', 'someth', 'custom', 'softwar', 'design', 'comput', 'electron', 'transfer', 'purpos', 'academ']",43232502.0
37,DC060000,Canned software - license renewals  - periodic license-to-use fee on previously purchased software,,"['purchas', 'licens', 'softwar', 'period', 'use', 'renew', 'fee', 'previous', 'can']",[],
38,DC070000,Cloud/remote storage,,"['remot', 'storag', 'cloud']",[],43201609.0
39,DD020000,Digital goods: designs / plans (digital only -- no physical media),Designs or plans that are transferred to the customer through electronic means only.,"['digit', 'design', 'good', 'physic', 'plan', 'media']","['design', 'electron', 'custom', 'plan', 'transfer', 'mean']",48111103.0
40,DD040000,Digital goods: documentation (other; digital only -- no physical media),Other documentation that is not identified with a specific tax code that is transferred to the customer through electronic means only.,"['digit', 'good', 'physic', 'document', 'media']","['custom', 'identifi', 'electron', 'mean', 'document', 'specif', 'transfer', 'tax', 'code']",48111103.0
41,DG010000,Digital goods: games,Games that are transferred to the customer through electronic means or otherwise.,"['digit', 'game', 'good']","['otherwis', 'electron', 'custom', 'transfer', 'game', 'mean']",48111103.0
42,DG010100,Digital goods: games-physical media,Games that are transferred to the customer through standard physical means.,"['digit', 'good', 'physic', 'game', 'media']","['custom', 'physic', 'transfer', 'game', 'standard', 'mean']",48111103.0
43,DG010200,Digital goods: games-streaming / electronic download,Games that are transferred to the customer through electronic means only.,"['digit', 'good', 'electron', 'download', 'stream', 'game']","['electron', 'custom', 'transfer', 'game', 'mean']",48111103.0
44,DG010201,Games - streaming / electronic download *see additional code description,Games that are transferred to the customer through electronic means only. participating in games on-line or otherwise. for purposes of the chicago amusement tax only: this code applies to streaming or temporary download - no ownership - non-possessory interest only. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.,"['electron', 'addit', 'download', 'stream', 'descript', 'game', 'see', 'code']","['otherwis', 'line', 'ownership', 'game', 'purpos', 'note', 'chicago', 'particip', 'made', 'address', 'transfer', 'tax', 'transact', 'electron', 'use', 'mean', 'appli', 'custom', 'interest', 'download', 'temporari', 'amus', 'stream', 'possessori', 'non', 'code']",48111404.0
45,DG010300,Games - electronic download - permanent ownership,,"['electron', 'perman', 'download', 'ownership', 'game']",[],48102006.0
46,DG010301,Games - streaming / electronic download with less than permanent ownership,,"['le', 'electron', 'perman', 'download', 'stream', 'ownership', 'game']",[],48102006.0
47,DG010302,Games - streaming / electronic download with less than permanent ownership - note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses,,"['le', 'appli', 'transact', 'electron', 'chicago', 'perman', 'download', 'use', 'stream', 'amus', 'made', 'ownership', 'game', 'address', 'code', 'tax', 'note']",[],48101501.0
48,DG020000,Electronically-delivered gift cards,,"['gift', 'deliv', 'electron', 'card']",[],32101506.0
49,DI010000,Digital images,"Digital images (i.e. birth certificates, invoices etc.) that are transferred to the customer through electronic means or otherwise.","['digit', 'imag']","['digit', 'otherwis', 'custom', 'electron', 'etc', 'ie', 'birth', 'certif', 'transfer', 'imag', 'invoic', 'mean']",
50,DI010100,Digital images-physical media,Digital images that are transferred to the customer through standard physical means.,"['digit', 'imag', 'media', 'physic']","['digit', 'custom', 'physic', 'transfer', 'imag', 'standard', 'mean']",43212114.0
51,DI010200,Digital images-streaming / electronic download,Digital images that are transferred to the customer through electronic means only.,"['digit', 'electron', 'download', 'stream', 'imag']","['digit', 'electron', 'custom', 'transfer', 'imag', 'mean']",43212114.0
52,DI010201,Digital images - streaming / electronic download *see additional code description,"Digital images that are transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of watching electronically delivered television shows, movies or videos wherein no possessory interest or permanent title is granted. subscription or pay-per-view streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.","['digit', 'electron', 'download', 'stream', 'descript', 'addit', 'imag', 'see', 'code']","['grant', 'pay', 'wherein', 'purpos', 'subscript', 'imag', 'note', 'digit', 'chicago', 'watch', 'televis', 'made', 'address', 'view', 'transfer', 'transact', 'electron', 'privileg', 'per', 'perman', 'use', 'electron', 'show', 'mean', 'appli', 'titl', 'custom', 'interest', 'deliv', 'video', 'amus', 'movi', 'stream', 'possessori', 'tax', 'code']",43212114.0
53,DL020000,Digital goods: legal documentation (digital only -- no physical media),"Legal documentation (i.e. wills, contracts etc.) that is transferred to the customer through electronic means only.","['digit', 'legal', 'good', 'physic', 'document', 'media']","['legal', 'custom', 'electron', 'will', 'etc', 'ie', 'document', 'transfer', 'contract', 'mean']",48111103.0
54,DM010100,Digital magazines (digital version identical to printed version for non-business use),"Digital magazines mean works that are generally recognized in the ordinary and usual sense as magazines, published in regular intervals, transferred electronically as digital files. if the magazine is sold in a hard-copy version and a digital version, both versions have the same information. the magazine is also sold for non-business use.","['digit', 'print', 'version', 'ident', 'magazin', 'use', 'non', 'busin']","['version', 'usual', 'also', 'hard', 'magazin', 'digit', 'recogn', 'ordinari', 'publish', 'transfer', 'sens', 'file', 'work', 'copi', 'use', 'regular', 'electron', 'sold', 'mean', 'interv', 'inform', 'gener', 'non', 'busin']",48101501.0
55,DM020000,Digital goods: mailing lists,Mailing list or other customer or sales related information that is transferred to the customer through electronic means or otherwise.,"['digit', 'list', 'mail', 'good']","['list', 'sale', 'otherwis', 'custom', 'electron', 'inform', 'relat', 'transfer', 'mail', 'mean']",48111103.0
56,DM020100,Digital goods: mailing lists-physical media,Mailing list that is transferred to the customer through standard physical means.,"['digit', 'list', 'good', 'physic', 'media', 'mail']","['list', 'custom', 'physic', 'transfer', 'mail', 'standard', 'mean']",48111103.0
57,DM020200,Digital goods: mailing lists-streaming / electronic download,Mailing list that is transferred to the customer through electronic means only.,"['digit', 'list', 'good', 'electron', 'download', 'stream', 'mail']","['list', 'electron', 'custom', 'transfer', 'mail', 'mean']",48111103.0
58,DM030000,Digital goods: movies,Movies that are transferred to the customer through electronic means or otherwise.,"['digit', 'movi', 'good']","['otherwis', 'electron', 'custom', 'movi', 'transfer', 'mean']",48111103.0
59,DM030100,Digital goods: movies-physical media,Movies that are transferred to the customer through standard physical means.,"['digit', 'good', 'physic', 'movi', 'media']","['custom', 'physic', 'movi', 'transfer', 'standard', 'mean']",48111103.0
60,DM030200,Digital goods: movies-streaming / electronic download,Movies that are transferred to the customer through electronic means only.,"['digit', 'electron', 'good', 'download', 'movi', 'stream']","['electron', 'custom', 'movi', 'transfer', 'mean']",48111103.0
61,DM030201,Movies - streaming / electronic download *see additional code description,"Movies that are transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of watching electronically delivered television shows, movies or videos wherein no possessory interest or permanent title is granted. subscription or pay-per-view streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.","['electron', 'download', 'movi', 'stream', 'descript', 'addit', 'see', 'code']","['grant', 'pay', 'wherein', 'purpos', 'subscript', 'note', 'chicago', 'watch', 'televis', 'made', 'address', 'view', 'transfer', 'transact', 'electron', 'privileg', 'per', 'perman', 'use', 'electron', 'show', 'mean', 'appli', 'titl', 'custom', 'interest', 'deliv', 'video', 'movi', 'amus', 'stream', 'possessori', 'tax', 'code']",43201604.0
62,DM040000,Digital goods: music,Music that is transferred to the customer through electronic means or otherwise.,"['digit', 'good', 'music']","['otherwis', 'custom', 'electron', 'music', 'transfer', 'mean']",48111103.0
63,DM040100,Digital goods: music-physical media,Music that is transferred to the customer through standard physical means.,"['digit', 'good', 'physic', 'music', 'media']","['custom', 'physic', 'music', 'transfer', 'standard', 'mean']",48111103.0
64,DM040200,Digital goods: music-streaming / electronic download,Music that is transferred to the customer through electronic means only.,"['digit', 'good', 'electron', 'download', 'stream', 'music']","['custom', 'electron', 'music', 'transfer', 'mean']",48111103.0
65,DM040201,Music - streaming / electronic download *see additional code description,Music that is transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of listening to electronically delivered music wherein no possessory interest or permanent title is granted. subscription or streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.,"['electron', 'download', 'stream', 'music', 'descript', 'addit', 'see', 'code']","['grant', 'wherein', 'purpos', 'subscript', 'note', 'listen', 'chicago', 'made', 'music', 'address', 'transfer', 'transact', 'electron', 'privileg', 'perman', 'use', 'electron', 'mean', 'appli', 'titl', 'custom', 'interest', 'deliv', 'amus', 'stream', 'possessori', 'tax', 'code']",43201533.0
66,DN010000,Digital newspaper subscription – access to similar content as in the print edition – for non-business use,"Digital newspapers mean those publications which are commonly understood to be newspapers and which are printed and distributed periodically at daily, weekly, or other short intervals for the dissemination of news of a general character and of a general interest to the public, which is transmitted to the customer by electronic means. if the newspaper is sold in a hard-copy version and a digital version, both versions have the same information. the newspaper is also sold for non-business use.","['digit', 'subscript', 'edit', 'print', 'use', 'acc', 'similar', 'newspap', 'non', 'busin', 'content']","['version', 'daili', 'distribut', 'also', 'hard', 'public', 'short', 'digit', 'gener', 'period', 'commonli', 'weekli', 'electron', 'copi', 'use', 'understood', 'newspap', 'mean', 'interv', 'sold', 'print', 'public', 'transmit', 'custom', 'interest', 'inform', 'news', 'dissemin', 'charact', 'non', 'busin']",14111829.0
67,DO010000,Other digital goods -- no physical media,Other sales not specifically identified by another tax code that are transferred to the customer through electronic means only.,"['digit', 'media', 'good', 'physic']","['sale', 'custom', 'identifi', 'electron', 'anoth', 'mean', 'specif', 'transfer', 'tax', 'code']",48111103.0
68,DP010000,Digital goods: photographs,Photographs that are transferred to the customer through electronic means or otherwise.,"['digit', 'photograph', 'good']","['otherwis', 'electron', 'custom', 'photograph', 'transfer', 'mean']",48111103.0
69,DP010100,Digital goods: photographs-physical media,Photographs that are transferred to the customer through standard physical means.,"['digit', 'good', 'physic', 'photograph', 'media']","['custom', 'physic', 'photograph', 'transfer', 'standard', 'mean']",48111103.0
70,DP010200,Digital goods: photographs-streaming / electronic download,"Photographs that are transferred to the customer through electronic means only. (note: ""electronic delivery"" may be required to be stated on the invoice to qualify for exemption in some jurisdictions)","['digit', 'good', 'electron', 'photograph', 'download', 'stream']","['exempt', 'electron', 'custom', 'note', 'state', 'photograph', 'deliveri', 'jurisdict', 'may', 'qualifi', 'transfer', 'requir', 'invoic', 'mean']",48111103.0
71,DP010201,Photographs - streaming / electronic download *see additional code description,"Photographs that are transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of watching electronically delivered television shows, movies or videos wherein no possessory interest or permanent title is granted. subscription or pay-per-view streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.","['electron', 'photograph', 'download', 'stream', 'descript', 'addit', 'see', 'code']","['grant', 'pay', 'wherein', 'purpos', 'subscript', 'note', 'chicago', 'watch', 'televis', 'made', 'address', 'view', 'transfer', 'transact', 'electron', 'privileg', 'per', 'perman', 'use', 'electron', 'show', 'mean', 'appli', 'titl', 'custom', 'interest', 'photograph', 'deliv', 'video', 'amus', 'movi', 'stream', 'possessori', 'tax', 'code']",45111813.0
72,DV010000,Digital goods: videos,Videos that are transferred to the customer through electronic means or otherwise.,"['digit', 'video', 'good']","['otherwis', 'electron', 'custom', 'video', 'transfer', 'mean']",48111103.0
73,DV010100,Digital goods: videos-physical media,Videos that are transferred to the customer through standard physical means.,"['digit', 'good', 'physic', 'video', 'media']","['custom', 'physic', 'video', 'transfer', 'standard', 'mean']",48111103.0
74,DV010200,Digital goods: videos-streaming / electronic download,Videos that are transferred to the customer through electronic means only.,"['digit', 'good', 'electron', 'download', 'video', 'stream']","['electron', 'custom', 'video', 'transfer', 'mean']",48111103.0
75,DV017194,Video programming streamed over the internet,"Code is for services that include cable services, satellite broadcasts, wireless cable services and internet protocol television provided through wireline facilities without regard to delivery technology. it can include prepaid on-demand internet streaming video to subscribers. please note this may be subject to other cable-related service type taxes, depending on the state.","['video', 'internet', 'stream', 'program']","['protocol', 'may', 'broadcast', 'subject', 'cabl', 'without', 'note', 'type', 'wirel', 'depend', 'provid', 'televis', 'demand', 'relat', 'regard', 'deliveri', 'satellit', 'includ', 'technolog', 'subscrib', 'prepaid', 'facil', 'state', 'video', 'wirelin', 'servic', 'stream', 'pleas', 'internet', 'tax', 'code']",
76,DV010201,Videos - streaming / electronic download *see additional code description,"Videos that are transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of watching electronically delivered television shows, movies or videos wherein no possessory interest or permanent title is granted. subscription or pay-per-view streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.","['electron', 'download', 'video', 'stream', 'descript', 'addit', 'see', 'code']","['grant', 'pay', 'wherein', 'purpos', 'subscript', 'note', 'chicago', 'watch', 'televis', 'made', 'address', 'view', 'transfer', 'transact', 'electron', 'privileg', 'per', 'perman', 'use', 'electron', 'show', 'mean', 'appli', 'titl', 'custom', 'interest', 'deliv', 'video', 'amus', 'movi', 'stream', 'possessori', 'tax', 'code']",43223207.0
77,DV021000,Digital audio visual works,,"['digit', 'work', 'visual', 'audio']",[],45111714.0
78,DV021007,Digital audio visual works sold to an end user with rights for permanent use,,"['digit', 'visual', 'audio', 'work', 'perman', 'user', 'right', 'use', 'end', 'sold']",[],45111714.0
79,DV021008,Digital audio visual works (with rights of less than permanent use),,"['digit', 'le', 'visual', 'audio', 'work', 'perman', 'right', 'use']",[],45111714.0
80,DV021009,Digital audio visual works (with rights conditioned on continued payments),,"['digit', 'visual', 'audio', 'condit', 'payment', 'work', 'right', 'continu']",[],45111714.0
81,DV021010,Digital audio visual works (with rights of less than permanent use) *see additional avatax system tax code information,"Videos that are transferred to the customer through electronic means only. for purposes of the chicago amusement tax only: privilege of watching electronically delivered television shows, movies or videos wherein no possessory interest or permanent title is granted. subscription or pay-per-view streaming. note: use of this code will apply the chicago amusement tax to all transactions made to chicago addresses.","['digit', 'le', 'visual', 'audio', 'avatax', 'work', 'perman', 'inform', 'right', 'use', 'tax', 'addit', 'system', 'see', 'code']","['grant', 'pay', 'wherein', 'purpos', 'subscript', 'note', 'chicago', 'watch', 'televis', 'made', 'address', 'view', 'transfer', 'transact', 'electron', 'privileg', 'per', 'perman', 'use', 'electron', 'show', 'mean', 'appli', 'titl', 'custom', 'interest', 'deliv', 'video', 'amus', 'movi', 'stream', 'possessori', 'tax', 'code']",45111812.0
82,DV029398,Digital audio visual works sold to users other than the end user,,"['digit', 'visual', 'audio', 'work', 'user', 'end', 'sold']",[],45111714.0
83,FR000000,Freight,"Charges for delivery, shipping, or shipping and handling. these charges represent the cost of the transportation of product sold to the customer, and if applicable, any special charges for handling or preparing the product for shipping. these separately identified charges are paid to the seller of the goods and not to the shipping company.",['freight'],"['ship', 'applic', 'seller', 'special', 'product', 'good', 'identifi', 'deliveri', 'handl', 'transport', 'sold', 'paid', 'prepar', 'charg', 'custom', 'cost', 'repres', 'separ', 'compani']",
84,FR010000,Delivery by company vehicle,Transportation charges imposed by the seller of the product for delivery of sold products using a company vehicle rather through a third party delivery service.,"['vehicl', 'deliveri', 'compani']","['vehicl', 'use', 'parti', 'charg', 'sold', 'deliveri', 'seller', 'transport', 'third', 'servic', 'impos', 'rather', 'compani', 'product']",25101604.0
85,FR010100,Delivery by company vehicle before passage of title,Transportation charges imposed by the seller of the product for delivery of sold product using a company vehicle rather through a third-party delivery service. the transfer of title to the customer does not take place until after the customer takes possession of the product (fob destination).,"['vehicl', 'titl', 'deliveri', 'passag', 'compani']","['transfer', 'seller', 'rather', 'take', 'place', 'product', 'use', 'parti', 'fob', 'deliveri', 'third', 'transport', 'sold', 'vehicl', 'titl', 'charg', 'custom', 'destin', 'servic', 'impos', 'possess', 'compani']",25101604.0
86,FR010200,Delivery by company vehicle after passage of title,Transportation charges imposed by the seller of the product for delivery of sold product using a company vehicle rather than through a third-party delivery service. the transfer of title to the customer takes place prior to the delivery of the product (fob origin).,"['vehicl', 'titl', 'deliveri', 'passag', 'compani']","['transfer', 'seller', 'rather', 'take', 'place', 'product', 'use', 'parti', 'fob', 'deliveri', 'prior', 'third', 'transport', 'sold', 'vehicl', 'titl', 'charg', 'custom', 'servic', 'impos', 'origin', 'compani']",25101604.0
87,FR020000,Shipping only (not paid directly to common carrier),"Charges for shipping of product through a third-party common carrier paid to the seller. the charges represents the cost of transportation ""only"" without any additional charges for handling.","['ship', 'common', 'directli', 'carrier', 'paid']","['parti', 'ship', 'charg', 'cost', 'addit', 'handl', 'paid', 'common', 'third', 'seller', 'carrier', 'repres', 'transport', 'product', 'without']",
88,FR,Shipping only common carrier - fob destination (backward compatibility),Charges for delivery of product through a third-party common carrier paid to the seller where the title to the product is transferred at the time the customer takes possession of the goods.,"['ship', 'compat', 'fob', 'destin', 'common', 'carrier', 'backward']","['take', 'parti', 'titl', 'charg', 'custom', 'good', 'deliveri', 'paid', 'time', 'common', 'third', 'seller', 'carrier', 'transfer', 'possess', 'product']",
89,FR020100,Shipping only common carrier - fob destination,Charges for delivery of product through a third-party common carrier paid to the seller where the title to the product is transferred at the time the customer takes possession of the goods.,"['ship', 'fob', 'destin', 'common', 'carrier']","['take', 'parti', 'titl', 'charg', 'custom', 'good', 'deliveri', 'paid', 'time', 'common', 'third', 'seller', 'carrier', 'transfer', 'possess', 'product']",
90,FR020200,Shipping only common carrier - fob origin,Charges for delivery of product through a third-party common carrier paid to the seller where the title to the product is transferred at the time of sales and prior to shipment.,"['ship', 'fob', 'common', 'carrier', 'origin']","['sale', 'parti', 'titl', 'charg', 'deliveri', 'paid', 'prior', 'time', 'common', 'third', 'seller', 'carrier', 'transfer', 'shipment', 'product']",
